Ausar-MiLicencia;C1 A Usar;C2 A Usar;C3 A Usar;C4 A Usar;C5 A Usar;C6 A Usar;C1 Mi software;C2 Mi software;C3 Mi software;C4 Mi software;C5 Mi software;C6 Mi software;Compatibilidad
Apache;4;2;3;3;1;3;2;1;2;3;1;2;1
BOOST;4;2;3;3;1;3;2;2;2;1;1;3;1
BSD;4;2;3;3;1;3;2;1;2;2;1;2;1
CC-BY-SA;4;2;3;3;1;3;3;2;3;1;1;4;1
CreativeCommonsZero;4;2;3;3;1;3;1;0;1;1;1,5;1;1
Eclipse;4;2;3;3;1;3;1,5;0,5;1,5;3;1;1,5;0
IBM;4;2;3;3;1;3;3;2;3;2;2;2;0
INTELOSL;4;2;3;3;1;3;2;1;2;2;1;2;1
LaTeXLicense;4;2;3;3;1;3;2;2;2;1;1;1;0
LGPL;4;2;3;3;1;3;1;2;3;3;1;3;1
MPL;4;2;3;3;1;3;1;1;1;1;1;3,5;0
MTL;4;2;3;3;1;3;1;1;1;1;1;3,5;0
MIT;4;2;3;3;1;3;2;1;2;2;1;2;1
MozPL;4;2;3;3;1;3;2;2;3;3;1;3;1
Netscape;4;2;3;3;1;3;1,5;2;1,5;3;1;3;0
OpenSSL;4;2;3;3;1;3;2;1;2;2;1;2;0
Privativo;4;2;3;3;1;3;5;3;4;3;2;4;0
Unlicense;4;2;3;3;1;3;1;0;1;1;1;1;1
WTFPL;4;2;3;3;1;3;1;1;1;1;1;1;0
Unlicense-Apache;1;0;1;1;1;1;2;1;2;3;1;2;0
Unlicense-MIT;1;0;1;1;1;1;2;1;2;2;1;2;0
Unlicense-LGPL;1;0;1;1;1;1;2;2;2;1;1;1;0
Apache-Unlicense;2;1;2;3;1;2;1;0;1;1;1;1;1
MIT-Unlicense;2;1;2;2;1;2;1;0;1;1;1;1;1
LGPL-Unlicense;2;2;2;1;1;1;1;0;1;1;1;1;1
MIT-Apache;2;1;2;2;1;2;2;1;2;3;1;2;0
MÏT-LGPL;2;1;2;2;1;2;2;2;2;1;1;1;1
Apache-MIT;2;1;2;3;1;2;2;1;2;2;1;2;1
LGPL-MIT;2;2;2;1;1;1;2;1;2;2;1;2;1
Privativo-LGPL;5;3;4;3;2;4;2;2;2;1;1;1;0
Privativo-CC-BY-SA;5;3;4;3;2;4;3;2;3;1;1;4;0
Privativo-Mozilla;5;3;4;3;2;4;2;2;3;3;1;3;0
